2019-11-18 12:29:37 WARNING  Client disconnected: <socket.socket fd=1540, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 56251)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:40:31,506 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:40:31 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:40:34,475 INFO     Connection established with ('127.0.0.1', 57688)
2019-11-18 12:40:34 INFO     Connection established with ('127.0.0.1', 57688)
2019-11-18 12:40:37,744 INFO     Connection established with ('127.0.0.1', 57692)
2019-11-18 12:40:37 INFO     Connection established with ('127.0.0.1', 57692)
2019-11-18 12:41:05,044 WARNING  Client disconnected: <socket.socket fd=1412, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57688)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:41:05 WARNING  Client disconnected: <socket.socket fd=1412, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57688)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:41:07,698 WARNING  Client disconnected: <socket.socket fd=1588, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57692)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:41:07 WARNING  Client disconnected: <socket.socket fd=1588, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57692)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:42:38,600 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:42:38 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:42:42,820 INFO     Connection established with ('127.0.0.1', 57886)
2019-11-18 12:42:42 INFO     Connection established with ('127.0.0.1', 57886)
2019-11-18 12:42:46,985 INFO     Connection established with ('127.0.0.1', 57893)
2019-11-18 12:42:46 INFO     Connection established with ('127.0.0.1', 57893)
2019-11-18 12:43:15,067 WARNING  Client disconnected: <socket.socket fd=1516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57893)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:43:15 WARNING  Client disconnected: <socket.socket fd=1516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57893)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:43:16,555 WARNING  Client disconnected: <socket.socket fd=1584, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57886)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:43:16 WARNING  Client disconnected: <socket.socket fd=1584, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 57886)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:56:03,462 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:56:03 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 12:56:06,968 INFO     Connection established with ('127.0.0.1', 59128)
2019-11-18 12:56:06 INFO     Connection established with ('127.0.0.1', 59128)
2019-11-18 12:56:10,308 INFO     Connection established with ('127.0.0.1', 59133)
2019-11-18 12:56:10 INFO     Connection established with ('127.0.0.1', 59133)
2019-11-18 12:56:25,737 WARNING  Client disconnected: <socket.socket fd=1560, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 59133)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:56:25 WARNING  Client disconnected: <socket.socket fd=1560, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 59133)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:56:28,938 WARNING  Client disconnected: <socket.socket fd=1516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 59128)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:56:28 WARNING  Client disconnected: <socket.socket fd=1516, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 59128)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
